ERP Contract,عقد خدمات,
Contract Type,نوع العقد,
SAR,ريال سعودي,
sar,ريال سعودي,
Halala,هللة,
halala,هللة,
Grand Total In Words,المجموع الكلي بالحروف,
Contract Amount,قيمة العقد,
Total Taxes and Charges,إجمالي الضرائب والرسوم,
"only.",فقط لاغير,
Deposit Amount,مبلغ العربون,
Deposit,العربون,
"and",و,
Net Total,صافي المجموع,
Net Total In Words,صافي المجموع بالحروف,
Advance Amount,المبلغ المدفوع مقدماً,
Advance Amount In Words,المبلغ المدفوع مقدماً بالحروف,
Total Taxes and Charges,إجمالي الضرائب والرسوم,
Advance Payment Entry,سند دفع مقدم,
Apply Installment Payment,تطبيق الدفع بالتقسيط,
Installment,القسط,
Installment Amount,قيمة القسط,
Installment Due Date,تاريخ استحقاق القسط,
Amount Due,المبلغ المستحق,
Instalment Count,عدد الأقساط,
Payment Periodicity,دورية الدفع,
Due Start Date,تاريخ بدء الاستحقاق,
Due Date,تاريخ الاستحقاق,
Notes,ملاحظات,
Create Schedule,إنشاء جدول,
Payment Schedule,جدول الدفع,
Contract Type,نوع العقد,
"Duration-Based",عقد قائم على المدة,
"Milestone-Based",عقد قائم على المراحل,
"<ul><li>Duration-Based: Depends on contract expiry.</li><li>Milestone-Based: Depends on milestone completion.</li></ul>",<ul><li>عقد قائم على المدة: يعتمد على انتهاء العقد.</li><li>عقد قائم على المراحل: يعتمد على إكمال المراحل.</li></ul>,
Duration UOM,وحدة قياس المدة,
Day,يوم,
Month,شهر,
Year,سنة,
Company Tax ID,الرقم الضريبي للشركة,
Customer Tax ID,الرقم الضريبي للعميل,
Contract Date,تاريخ العقد,
Contract Duration,مدة العقد,
More Info,مزيد من المعلومات,
Status,الحالة,
Primary Language,اللغة الأساسية,
Foreign Language,اللغة الأجنبية,
Title (Primary),العنوان (الأساسي),
Title (Foreign),العنوان (الأجنبي),
Terms and Conditions (Primary),الشروط والأحكام (الأساسية),
Terms and Conditions (Foreign),الشروط والأحكام (الأجنبية),
"Amount & Payments",قيمة العقد والمدفوعات,
"Terms & Conditions",الشروط والأحكام,
Signature,التوقيع,
Signed,تم التوقيع,
Signed Contract,العقد الموقع,
Signee,الموقع,
Signed On,تاريخ التوقيع,
IP Address,عنوان IP,
"Signee (Customer)",الموقع (العميل),
"Signed By (Customer)",التوقيع بواسطة (العميل),
Contract Parties,أطراف العقد,
Company Party,طرف الشركة,
Customer Party,طرف العميل,
Parties Representatives,ممثلو الأطراف,
Official Representatives,الممثلون الرسميون,
Customer Representatives,ممثلو العميل,
Representative,الممثل,
Designation,المسمى الوظيفي,
Contact,جهة الاتصال,
Email ID,البريد الإلكتروني,
Phone,الهاتف,
Address,العنوان,
Mobile No,رقم الجوال,
Phone No,رقم الهاتف,
Salutation,اللقب,
Full Name,الاسم الكامل,
Nationality,الجنسية,
ID Number,رقم الهوية,
Advance Payment,الدفع المقدم,
Installment Payment,الدفع بالتقسيط,
Contract Terms Template,قالب شروط العقد,
"Asia/Riyadh",آسيا/الرياض,
Company Primary Official,المسؤول الرسمي للشركة,
Official Contact,جهة اتصال المسؤول,
Customer Primary Official,المسؤول الرسمي للعميل,
Primary Contact,جهة الاتصال الأساسية,
Draft,مسودة,
Unsigned,غير موقع,
Active,نشط,
Inactive,غير نشط,
On Hold,معلق,
Completed,مكتمل,
Renewed,مجدد,
Resume,استئناف,
Terminated,مفسوخ,
Cancelled,ملغى,
Is Renewed,مجدد,
Milestone-Based,قائم على الإنجاز,
Contract Category,فئة العقد,
ERP Contract,عقد خدمات,
Service,خدمة,
Maintenance,صيانة,
Technical Support,دعم فني,
Lease,إيجار,
Tax ID,الرقم الضريبي,
Remarks,ملاحظات,
Installment Count,عدد الأقساط,
Company Representatives,ممثلو الشركة,
Is Primary Official,المسؤول الرسمي الأساسي,
Official Details,تفاصيل المسؤول,
Company Official,مسؤول الشركة,
Tools,أدوات,
ERP Contract,العقد,
ERP Contract Terms Template,قالب شروط العقد,
Contract Contact Template,قالب جهة اتصال العقد,
Start Date,تاريخ البدء,
End Date,تاريخ الانتهاء,
Payments,المدفوعات,
Renewals,التجديدات,
Approvals,الموافقات,
Apply Hierarchical Approvals,تطبيق الموافقات الهرمية,
Date of contract conclusion,تاريخ إبرام العقد,
Supply,توريد,
Not Requested,لا يتطلب,
Pending Approval,قيد الانتظار للموافقة,
Approved,موافق عليه,
Rejected,مرفوض,
Require Signed Contract Attachment,يتطلب إرفاق العقد الموقع,
"Block marking a contract as Signed until its signed copy is attached.",حظر وضع علامة "موقع" على العقد حتى يتم إرفاق نسخة العقد الموقع.,
Follow via Email,متابعة عبر البريد الإلكتروني,
Renewal Grace Period,فترة سماح التجديد,
Period UOM,وحدة قياس الفترة,
Roles,الأدوار,
Precedence,الأسبقية,
Role,الدور,
Signature,التوقيع,
Waiting,في الانتظار,
Pending,قيد الانتظار,
Approved,موافق عليه,
Rejected,مرفوض,
Rejection Reason,سبب الرفض,
